              | 
Vinkovićeva   |
Igor          |
Izzy          |
Naselje       |
Ostalo        |

oznaka:
H - hrana
R - režije
O - ostalo
NT - neplanirani troškovi
OS - online shopping (u $)
TOT - total
P - Pointer


datum    | +/- |iznos(kn)| oznaka| info
2018-03-15 | - |  560,84 (HRK) | TOT | total-dana
2018-03-16 |   |    0,00 (HRK) | TOT | total-dana
11.3.-16.3. -3.035,47kn




2018-03-17 | - |     , (HRK) |  | 
2018-03-17 | - |     , (HRK) |  | 
2018-03-17 |  |     , (HRK) | TOT | total-dana



2018-03-xx | - |     , (HRK) |  | 
2018-03-xx |  |     , (HRK) | TOT | total-dana





---
Leon-dug 130kn
    posudba 200kn - rođ
    vratio 50kn - karta za stoku
    posudio 179,99kn - tipkovnica
    vratio 200kn
---
